目录,模型名称,下载地址
"unet","hunyuanvideo1.5_1080p_sr_distilled_fp16.safetensors","https://huggingface.co/Comfy-Org/HunyuanVideo_1.5_repackaged/resolve/main/split_files/diffusion_models/hunyuanvideo1.5_1080p_sr_distilled_fp16.safetensors"
"unet","hunyuanvideo1.5_720p_i2v_fp16.safetensors","https://huggingface.co/Comfy-Org/HunyuanVideo_1.5_repackaged/resolve/main/split_files/diffusion_models/hunyuanvideo1.5_720p_i2v_fp16.safetensors"
"unet","hunyuanvideo1.5_720p_t2v_fp16.safetensors","https://huggingface.co/Comfy-Org/HunyuanVideo_1.5_repackaged/resolve/main/split_files/diffusion_models/hunyuanvideo1.5_720p_t2v_fp16.safetensors"
"unet","omnigen2_fp16.safetensors","https://huggingface.co/Comfy-Org/Omnigen2_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/omnigen2_fp16.safetensors"
"unet","qwen_image_edit_2509_fp8_e4m3fn.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image-Edit_ComfyUI/resolve/main/split_files/diffusion_models/qwen_image_edit_2509_fp8_e4m3fn.safetensors"
"unet","qwen_image_fp8_e4m3fn.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/split_files/diffusion_models/qwen_image_fp8_e4m3fn.safetensors"
"unet","wan2.1_flf2v_720p_14B_fp16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_flf2v_720p_14B_fp16.safetensors?download=true"
"unet","wan2.1_fun_camera_v1.1_1.3B_bf16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_fun_camera_v1.1_1.3B_bf16.safetensors"
"unet","wan2.1_fun_camera_v1.1_14B_bf16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_fun_camera_v1.1_14B_bf16.safetensors"
"unet","wan2.1_fun_control_1.3B_bf16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_fun_control_1.3B_bf16.safetensors?download=true"
"unet","wan2.1_fun_inp_1.3B_bf16.safetensors","⚠️ 未提供"
"unet","wan2.1_i2v_480p_14B_fp16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_i2v_480p_14B_fp16.safetensors"
"unet","wan2.1_t2v_1.3B_fp16.safetensors","⚠️ 未提供"
"unet","wan2.1_t2v_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_t2v_14B_fp8_scaled.safetensors"
"unet","wan2.1_vace_1.3B_fp16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_vace_1.3B_fp16.safetensors"
"unet","wan2.1_vace_14B_fp16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_vace_14B_fp16.safetensors"
"unet","wan2.2_fun_camera_high_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_camera_high_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_fun_camera_low_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_camera_low_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_fun_control_5B_bf16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_control_5B_bf16.safetensors"
"unet","wan2.2_fun_control_high_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_control_high_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_fun_control_low_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_control_low_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_fun_inpaint_5B_bf16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_inpaint_5B_bf16.safetensors"
"unet","wan2.2_fun_inpaint_high_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_inpaint_high_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_fun_inpaint_low_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_fun_inpaint_low_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_i2v_high_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_i2v_high_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_i2v_low_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_i2v_low_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_s2v_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_s2v_14B_fp8_scaled.safetensors"
"unet","wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors"
"unet","wan2.2_ti2v_5B_fp16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_ti2v_5B_fp16.safetensors"
"unet","z_image_turbo_bf16.safetensors","https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/diffusion_models/z_image_turbo_bf16.safetensors"
"upscale_models","hunyuanvideo15_latent_upsampler_1080p.safetensors","⚠️ 未提供"
"vae","ae.safetensors","https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/vae/ae.safetensors"
"vae","flux2-vae.safetensors","https://huggingface.co/Comfy-Org/flux2-dev/resolve/main/split_files/vae/flux2-vae.safetensors"
"vae","hunyuan_video_vae_bf16.safetensors","⚠️ 未提供"
"vae","hunyuanvideo15_vae_fp16.safetensors","https://huggingface.co/Comfy-Org/HunyuanVideo_1.5_repackaged/resolve/main/split_files/vae/hunyuanvideo15_vae_fp16.safetensors"
"vae","qwen_image_vae.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/split_files/vae/qwen_image_vae.safetensors"
"vae","vae-ft-mse-840000-ema-pruned.safetensors","https://huggingface.co/stabilityai/sd-vae-ft-mse-original/resolve/main/vae-ft-mse-840000-ema-pruned.safetensors"
"vae","wan2.2_vae.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/vae/wan2.2_vae.safetensors"
"vae","wan_2.1_vae.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/vae/wan_2.1_vae.safetensors?download=true"
"vae","wan_alpha_2.1_vae_alpha_channel.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/vae/wan_alpha_2.1_vae_alpha_channel.safetensors"
"vae","wan_alpha_2.1_vae_rgb_channel.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/vae/wan_alpha_2.1_vae_rgb_channel.safetensors"
"unknown","Qwen-Image-Edit-2509-Relight.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image-Edit_ComfyUI/resolve/main/split_files/loras/Qwen-Image-Edit-2509-Relight.safetensors"
"unknown","dw-ll_ucoco_384_bs5.torchscript.pt","⚠️ 未提供"
"unknown","lotus-depth-d-v1-1.safetensors","https://huggingface.co/Comfy-Org/lotus/resolve/main/lotus-depth-d-v1-1.safetensors"
